"cities","lat","lon"
"Atlanta, GA",33.6367,-84.428101
"Austin, TX",30.197535,-97.662015
"Boston, MA",42.3643,-71.005203
"Chicago, IL",41.9786,-87.9048
"Cleveland, OH",41.4117012,-81.84980011
"Dallas/Fort Worth, TX",32.896801,-97.038002
"Denver, CO",39.86169815,-104.6729965
"Detroit, MI",42.21239853,-83.35340118
"Houston, TX",29.9843998,-95.34140015
"Las Vegas, NV",36.08010101,-115.1520004
"Los Angeles, CA",33.942501,-118.407997
"Miami, FL",25.79319954,-80.29060364
"Minneapolis/St. Paul, MN",44.93450165,-93.05999756
"New York City, NY",40.639801,-73.7789
"Orlando, FL",28.42939949,-81.30899811
"Philadelphia, PA",39.87189865,-75.2410965
"Phoenix, AZ",33.435302,-112.005905
"San Francisco, CA",37.61899948,-122.375
"Seattle, WA",47.449001,-122.308998
"Tampa, FL",27.97550011,-82.53320313
"Washington, DC",38.8521,-77.037697
"Boise, ID",43.5644,-116.223
"Charlotte, NC",35.2140007,-80.94309998
"Fort Myers, FL",26.53619957,-81.75520325
"Raleigh/Durham, NC",35.87760162,-78.78749847
"San Diego, CA",32.73360062,-117.1900024
"West Palm Beach/Palm Beach, FL",26.68320084,-80.09559631
"Charleston, SC",32.898602,-80.040497
"Nashville, TN",36.12450027,-86.67819977
"New Orleans, LA",29.99340057,-90.25800323
"Kansas City, MO",39.2976,-94.713898
"Salt Lake City, UT",40.785749,-111.979746
"St. Louis, MO",38.748697,-90.370003
"Portland, OR",45.58869934,-122.5979996
"Hartford, CT",41.93851,-72.688066
"Indianapolis, IN",39.7173,-86.294403
"Jacksonville, FL",30.49410057,-81.68789673
"Sacramento, CA",38.69540024,-121.5910034
"San Antonio, TX",29.533701,-98.469803
"Savannah, GA",32.12760162,-81.20210266
"Pittsburgh, PA",40.49150085,-80.23290253
